SKU1,CODIGO2,TIPO3,MULTIPLO4,DESCRIPCION5,EXISTENCIA6,UM7,COSTO_PROMEDIO8
2010010601,17501130510013,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 601 NEGRO,184221.99,PZ,1.20688
2010010602,17501130514196,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 602 NEGRO MEZCLILLA,19121,PZ,1.65325
2010010604,17501130510020,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 604 ROJO ESCARLATA,13269,PZ,1.58205
2010010605,17501130510037,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 605 ROJO OSCURO,8928,PZ,1.67226
2010010606,17501130510044,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 606 AZUL MARINO,105543,PZ,1.66942
2010010608,17501130510068,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 608 GRIS OSCURO,7493,PZ,1.21214
2010010610,17501130510075,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 610 VERDE OSCURO,11059.99,PZ,1.39257
2010010611,17501130510082,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 611 CASTAÑO CLARO,5482,PZ,0.81914
2010010612,17501130510099,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 612 AMARILLO,5449,PZ,0.94588
2010010613,17501130510105,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 613 ROSA MEXICANO,8517,PZ,2.24941
2010010616,17501130510129,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 616 ROSA,3343,PZ,1.07292
2010010618,17501130510143,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 618 NARANJA,6731,PZ,1.29794
2010010623,17501130510174,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 623 AZUL CLARO,5515,PZ,0.89068
2010010624,17501130510181,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 624 ROJO CLARO,8557,PZ,1.61
2010010626,17501130510204,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 626 CASTAÑO OSCURO,15791,PZ,1.58067
2010010627,17501130510211,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 627 VIOLETA AZULADO,10316,PZ,1.6209
2010010628,17501130510228,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 628 AZUL OSCURO,14716,PZ,1.81772
2010010632,17501130510242,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 632 AZUL DE AZUR,3456,PZ,1.58116
2010010646,17501130510280,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 646 BEIGE,9276,PZ,0.80841
2010010655,17501130511744,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 655 AZUL MEZCLILLA,28447,PZ,1.07583
2010010656,17501130560001,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 656 AZUL OSCURO MEZCLILLA,5967,PZ,1.75669
2010010667,17501130510327,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 667 VERDE ULTRAMAR,3027,PZ,1.37859
2010010668,17501130510334,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 668  TILO,3530,PZ,0.69756
2010010675,17501130510341,A,100,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 675 KHAKI,5545,PZ,1.16933
2010021601A,27501130525090,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 601 NEGRO,141518,PZ,1.78492
2010021602A,27501130525106,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 602 NEGRO MEZCLILLA,26281,PZ,2.18877
2010021604A,27501130525113,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 604 ROJO ESCARLATA,18058,PZ,1.81159
2010021605A,27501130525120,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 605 ROJO OSCURO,8784,PZ,2.04688
2010021606A,27501130525137,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 606 AZUL MARINO,93865,PZ,2.10413
2010021608A,27501130525144,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 608 GRIS OSCURO,11634,PZ,1.66257
2010021610A,27501130525151,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 610 VERDE OSCURO,10342,PZ,2.01288
2010021611A,27501130525168,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 611 CASTAÑO CLARO,5982,PZ,1.57246
2010021612A,27501130525175,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 612 AMARILLO,9191,PZ,2.46248
2010021613A,27501130515008,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 613 ROSA MEXICANO,28266,PZ,2.43252
2010021616A,27501130525182,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 616 ROSA,9529,PZ,1.48347
2010021618A,27501130525199,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 618 NARANJA,7701,PZ,1.55878
2010021623A,27501130525212,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 623 AZUL CLARO,33648,PZ,1.44643
2010021624A,27501130525229,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 624 ROJO CLARO,11746,PZ,2.0662
2010021626A,27501130525243,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 626 CASTAÑO OSCURO,20368,PZ,1.86433
2010021627A,27501130525250,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 627 VIOLETA AZULADO,8703,PZ,2.38673
2010021628A,27501130525267,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 628 AZUL OSCURO,17089,PZ,2.40804
2010021632A,27501130525274,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 632 AZUL DE AZUR,5767,PZ,1.91923
2010021646A,27501130525281,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 646 BEIGE,8693,PZ,1.45287
2010021655A,27501130525298,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 655 AZUL MEZCLILLA,23382,PZ,1.55887
2010021656A,27501130525304,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 656 AZUL OSCURO MEZCLILLA,13751,PZ,2.61647
2010021667A,27501130525311,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 667 VERDE ULTRAMAR,26885,PZ,2.02676
2010021668A,27501130582192,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 668 TILO,4989,PZ,1.34709
2010021675A,27501130577297,A,100,CORRUGADO 100 COLORANTE MARIPOSA CRISTALES 32 GRS --- 675 KAKHI,5511,PZ,1.81448
2010060101,27501130576061,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 101 NEGRO,8193,PZ,5.9556
2010060104,27501130525427,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 104 ROJO,4526,PZ,3.63029
2010060106,27501130525397,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 106 AZUL MARINO,4865,PZ,5.53621
2010060109,27501130525434,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 109 GRIS,4019,PZ,3.04303
2010060110,27501130525410,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 110 VERDE,2296,PZ,3.52421
2010060111,27501130525496,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 111 BEIGE,4109,PZ,2.57487
2010060112,27501130525458,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 112 AMARILLO,1334,PZ,3.60501
2010060116,27501130525465,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 116 ROSA,2622,PZ,2.48049
2010060118,27501130525489,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 118 NARANJA,4312,PZ,3.40153
2010060123,27501130525472,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 123 AZUL CLARO,2482,PZ,2.27501
2010060127,27501130525519,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 127 VIOLETA,1869,PZ,3.68501
2010060155,27501130525526,A,100,CORRUGADO 100 COLORANTE MARIPOSA MULTIFIBRA 28 GRS --- 155 AZUL INDIGO,4283,PZ,3.64674
2050070001,27501130589658,A,15,CORRUGADO 15 MARIPOSA TIE-DYE 6G ---  TURQUESA,555,PZ,9.02043
2050070002,27501130589665,A,15,CORRUGADO 15 MARIPOSA TIE-DYE 6G ---  FIUSHA,290,PZ,11.15042
2050070003,27501130589672,A,15,CORRUGADO 15 MARIPOSA TIE-DYE 6G ---  MORADO,273,PZ,9.43254
2050070004,27501130589689,A,15,CORRUGADO 15 MARIPOSA TIE-DYE 6G ---  VERDE,1139,PZ,9.45051
2050070005,27501130589696,A,15,CORRUGADO 15 MARIPOSA TIE-DYE 6G ---  AMARILLO,1149,PZ,9.09227
2080020000,27501130516418,A,80,CORRUGADO 80 FIJADOR HAGEFIXER 50G --- -- ,7428,PZ,1.3455
2150193100,27501130581973,A,100,CORRUGADO 100 REVITALIZADOR DE BLANCOS --- -- ,26276,PZ,1.68235
2150193101,27501130585124,A,60,CORRUGADO 60 REVITALIZADOR DE BLANCOS TIRA --- -- ---,135,PZ,27.00725
2020020001,17501130512314,A,100,CORRUGADO 100 COLORANTE CITOCOL SOBRE 20G --- 1 NEGRO,11665.0041,PZ,3.63837
2020020005,17501130512352,A,100,CORRUGADO 100 COLORANTE CITOCOL SOBRE 20G --- 5 ROJO AMAPOLA,1267,PZ,2.58616
2020020006,17501130512369,A,100,CORRUGADO 100 COLORANTE CITOCOL SOBRE 20G --- 6 VERDE OSCURO,3589,PZ,2.57893
