SKU1,DESCRIPCION2,MARCA3,AROMA4,COD. COLOR5,DESCRIP. DE COLOR6,DESCRIPCION IMPRESA7,CONTADOR8,COLECTIVA9,CORRUGADO10,UNITARIO11,COLECTIVA12,CORRUGADO13,14,DESCRIPCION_LARGA_CORRUGADO15,DESCRIPCION_LARGA_COLECTIVA16,DESCRIPCION_LARGA_SKU17,AVAILABLE18,UM19,AVERAGE_COST20
2010010601,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,601,NEGRO,MARIPOSA PASTILLA 32G,21,,100,7501130510016,N/A,17501130510013, ,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 601 NEGRO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 601 NEGRO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 601 NEGRO,85955,PZ,1.20283
2010010602,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,602,NEGRO MEZCLILLA,MARIPOSA PASTILLA 32G,21,,100,7501130514199,N/A,17501130514196,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 602 NEGRO MEZCLILLA,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 602 NEGRO MEZCLILLA, COLORANTE MARIPOSA PASTILLA 32 GRS --- 602 NEGRO MEZCLILLA,4178,PZ,1.41218
2010010604,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,604,ROJO ESCARLATA,MARIPOSA PASTILLA 32G,21,,100,7501130510023,N/A,17501130510020,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 604 ROJO ESCARLATA,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 604 ROJO ESCARLATA, COLORANTE MARIPOSA PASTILLA 32 GRS --- 604 ROJO ESCARLATA,11618,PZ,1.56449
2010010605,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,605,ROJO OSCURO,MARIPOSA PASTILLA 32G,21,,100,7501130510030,N/A,17501130510037,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 605 ROJO OSCURO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 605 ROJO OSCURO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 605 ROJO OSCURO,6426,PZ,1.7255
2010010606,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,606,AZUL MARINO,MARIPOSA PASTILLA 32G,21,,100,7501130510047,N/A,17501130510044,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 606 AZUL MARINO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 606 AZUL MARINO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 606 AZUL MARINO,73305,PZ,1.68348
2010010608,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,608,GRIS OSCURO,MARIPOSA PASTILLA 32G,21,,100,7501130510061,N/A,17501130510068,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 608 GRIS OSCURO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 608 GRIS OSCURO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 608 GRIS OSCURO,6938,PZ,1.21071
2010010610,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,610,VERDE OSCURO,MARIPOSA PASTILLA 32G,21,,100,7501130510078,N/A,17501130510075,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 610 VERDE OSCURO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 610 VERDE OSCURO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 610 VERDE OSCURO,4328,PZ,1.39643
2010010611,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,611,CASTAÑO CLARO,MARIPOSA PASTILLA 32G,21,,100,7501130510085,N/A,17501130510082,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 611 CASTAÑO CLARO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 611 CASTAÑO CLARO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 611 CASTAÑO CLARO,5010,PZ,0.81914
2010010612,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,612,AMARILLO,MARIPOSA PASTILLA 32G,21,,100,7501130510092,N/A,17501130510099,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 612 AMARILLO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 612 AMARILLO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 612 AMARILLO,4506,PZ,0.94325
2010010613,COLORANTE MARIPOSA PASTILLA 32 GRS,MARIPOSA,---,613,ROSA MEXICANO,MARIPOSA PASTILLA 32G,21,,100,7501130510108,N/A,17501130510105,,CORRUGADO 100 COLORANTE MARIPOSA PASTILLA 32 GRS --- 613 ROSA MEXICANO,COLECTIVA  COLORANTE MARIPOSA PASTILLA 32 GRS --- 613 ROSA MEXICANO, COLORANTE MARIPOSA PASTILLA 32 GRS --- 613 ROSA MEXICANO,7671,PZ,2.24375
