PRODUCT_ID,PRODUCT_ID_CORP,PRODUCT_NAME,CODE_PROV_O_ALT,AVAILABLE,UM,AVERAGE_COST,WARE_CODE
0000000003,0000000003-CIMSA,VELAS DESCONTINUADAS,,0,PZ,1,PTP
0000000009,0000000009-CIMSA,VASO DE CRUZ,,0,PZ,0,PTP
0000000013,0000000013-CIMSA,COLORANTES DESCONTINUADOS,,0,PZ,1,PTP
0000000014,0000000014-CIMSA,ANILINAS DESCONTINUADOS,,0,PZ,1,PTP
0000000015,0000000015-CIMSA,ESCOLARES DESCONTINUADOS,,0,PZ,1,PTP
064593000600P,064593000600P-CIMSA,VELA PRIMERA COMUNION P,,1363,PZ,29.22689,PTP
065642002400,065642002400-CIMSA,VELA ADVIENTO SURTIDA,,0,PZ,209.77222,PTP
080780011715,080780011715-CIMSA,KIT ESPIRAL NAVIDEÑO 2015,,0,PZ,0,PTP
080786001715,080786001715-CIMSA,KIT VOTIVA 45MM NAVIDEÑO 2015,,0,PZ,0,PTP
1012010001,1012010001-CIMSA,CORAZON FLOTANTE ROJO,7501130579921,273,PZ,3.19871,PTP
1012020001,1012020001-CIMSA,CORAZON 5 ROJO FUEGO,7501130574650,304,PZ,5.07984,PTP
1012020002,1012020002-CIMSA,CORAZON 5 ROSA,,546,PZ,6.78529,PTP
1012020003,1012020003-CIMSA,CORAZON 5 AZUL CLARO,,550,PZ,6.79889,PTP
1012021001,1012021001-CIMSA,CORAZON 5 ROJO METALICO,7501130574674,1490,PZ,6.63198,PTP
1012030001,1012030001-CIMSA,CORAZON 7 ROJO FUEGO,7501130574667,158,PZ,3.92813,PTP
1012030002,1012030002-CIMSA,CORAZON 7 ROSA,,210,PZ,4.01739,PTP
1012030003,1012030003-CIMSA,CORAZON 7 AZUL CLARO,,162,PZ,4.01253,PTP
1012031001,1012031001-CIMSA,CORAZON 7 ROJO METALICO,7501130574681,67,PZ,35.16258,PTP
1012040001,1012040001-CIMSA,PERA VERDE C/AROMA,7501130577538,42,PZ,4.46489,PTP
1012040002,1012040002-CIMSA,CHOCOLATE CUBO GRANDE,7501130578825,73,PZ,3.23275,PTP
1012040003,1012040003-CIMSA,CHOCOLATE CUBO CHICO,7501130578818,172,PZ,1.6625,PTP
1012040004,1012040004-CIMSA,CHOCOLATE CORAZON CHICO,7501130578795,92,PZ,1.81464,PTP
1012040005,1012040005-CIMSA,CHOCOLATE ESFERA CHICO,7501130578801,79,PZ,2.0949,PTP
1012040006,1012040006-CIMSA,MANZANA ROJA C/AROMA,7501130577576,61,PZ,8.27891,PTP
1012040007,1012040007-CIMSA,MANZANA VERDE C/AROMA,7501130577552,94,PZ,6.7117,PTP
1012040008,1012040008-CIMSA,ESFERA BLANCA DE FLORES,,0,PZ,0,PTP
1012040009,1012040009-CIMSA,CIRIO 8X9 CON CAFE Y AROMA,,104,PZ,13.75677,PTP
1012040013,1012040013-CIMSA,LLE DE CORAZ AZUL REY CON ARO,,0,PZ,0,PTP
1012040014,1012040014-CIMSA,VELA DE CALAVERA  NARANJA 3 PK,,0,PZ,0,PTP
1012040015,1012040015-CIMSA,VELA DE CALAVERA  BLANCA 3 PK,,0,PZ,0,PTP
1012040016,1012040016-CIMSA,VELA DE CALAVERA  MORADA 3 PK,,0,PZ,0,PTP
1012040017,1012040017-CIMSA,KIT VELA DE CALAVERA ASSORTED,,1,PZ,190.79,PTP
1012040018,1012040018-CIMSA,VELA DE CALAVERA  NAR 3 P COLO,,0,PZ,5.26488,PTP
1012040019,1012040019-CIMSA,VELA DE CALAVERA  BLA 3 P COL,,0,PZ,6.265,PTP
1012040020,1012040020-CIMSA,VELA DE CALAVERA  MOR 3 P COLO,,21,PZ,5.28825,PTP
1012040021,1012040021-CIMSA,VELA CALAVERA BLANCA GRANDE CV,,0,PZ,0,PTP
1151442010,1151442010-CIMSA,CIR CUAD S/A OVDP 10X13  BLA,,77,PZ,30.86208,PTP
1151452010,1151452010-CIMSA,CIR CUAD S/A C/PER 20 X 10 BLA,,6,PZ,87.206,PTP
1151452037,1151452037-CIMSA,CIR CUAD S/A C/PER 20 X 10 CRE,,6,PZ,97.95667,PTP
1151470010,1151470010-CIMSA,CIR S/A 3 PABILOS 15 X 10 BLA,7501130578511,4,PZ,65.01526,PTP
1151470037,1151470037-CIMSA,CIR S/A 3 PAB 15 X 10 CRE,7501130578528,13,PZ,79.227,PTP
1151470038,1151470038-CIMSA,CIR S/A 3 PABILOS 15 X 10 AMAR,7501130578535,15,PZ,253.11,PTP
1151470040,1151470040-CIMSA,CIR S/A OV 3 PAB 15X10 NAR.,,40,PZ,33.77255,PTP
1151470050,1151470050-CIMSA,CIR S/A 3 PABILOS 15 X 10 ROSA,7501130578542,13,PZ,66.43652,PTP
1151470060,1151470060-CIMSA,CIR S/A 3 PAB 15 X 10 ROJ FUE,7501130578559,46,PZ,50.17947,PTP
1151470071,1151470071-CIMSA,CIR S/A 3 PAB 15 X 10 AZ CLA,7501130578566,4,PZ,65.1,PTP
1151470085,1151470085-CIMSA,CIR S/A 3 PAB 15 X 10 VER OBS,7501130578573,20,PZ,7.34,PTP
1151470115,1151470115-CIMSA,CIR S/A OV 3 PAB 15X10 AZ FUER,,0,PZ,0,PTP
1151470163,1151470163-CIMSA,CIR S/A 3 PAB 15 X 10 MOR,7501130578580,28,PZ,62.685,PTP
1151520010,1151520010-CIMSA,CIRIO PASCUAL 10 X 36 BLANCO,7501130581672,28,PZ,45.00577,PTP
1151520037,1151520037-CIMSA,CIRIO PASCUAL 10 X 36 CREMA,7501130581689,37,PZ,71.89245,PTP
1151520050,1151520050-CIMSA,CIR PASCUAL 10 X 36 ROS PASTEL,,0,PZ,80.74,PTP
1151520063,1151520063-CIMSA,CIRIO PASCUAL 10 X 36 MORADO,,0,PZ,83.76667,PTP
1151525010,1151525010-CIMSA,CIRIO PASCUAL 10 X 24 BLANCO,7501130581696,19,PZ,46.69875,PTP
1151525037,1151525037-CIMSA,CIRIO PASCUAL 10 X 24 CREMA,7501130581702,42,PZ,27.57041,PTP
